accuracy,loss,val_accuracy,val_loss
0.3216080367565155,1.1770073175430298,0.3488371968269348,1.0938997268676758
0.356783926486969,1.0923893451690674,0.39534884691238403,1.0801948308944702
0.39698493480682373,1.0819469690322876,0.4883720874786377,1.040809988975525
0.4170854389667511,1.0815834999084473,0.3488371968269348,1.0534656047821045
0.45728641748428345,1.0157819986343384,0.5581395626068115,0.9106853604316711
0.5427135825157166,0.9063915610313416,0.604651153087616,0.8070646524429321
0.6130653023719788,0.7605138421058655,0.8372092843055725,0.41695404052734375
0.6834170818328857,0.6838445067405701,0.8604651093482971,0.43719637393951416
0.6633166074752808,0.7631337642669678,0.6744186282157898,0.6636009812355042
0.6884422302246094,0.6535943746566772,0.8604651093482971,0.37883511185646057
0.6934673190116882,0.6266717314720154,0.9069767594337463,0.36774253845214844
0.7688442468643188,0.5005432963371277,0.9534883499145508,0.21747338771820068
0.7638190984725952,0.44805708527565,0.9534883499145508,0.19672109186649323
0.8190954923629761,0.399233341217041,1.0,0.13527461886405945
0.8542713522911072,0.33501744270324707,0.9534883499145508,0.15202437341213226
0.8241205811500549,0.35282063484191895,0.930232584476471,0.15203122794628143
0.8793969750404358,0.2742517292499542,1.0,0.06516140699386597
0.9195979833602905,0.21565911173820496,0.9534883499145508,0.1105184480547905
0.8944723606109619,0.25241929292678833,1.0,0.04632769897580147
0.9045225977897644,0.24235278367996216,0.930232584476471,0.16278217732906342
0.8492462038993835,0.3222147822380066,0.7674418687820435,0.3376079499721527
0.8492462038993835,0.39720407128334045,0.930232584476471,0.15499348938465118
0.8844221234321594,0.2841666042804718,0.9767441749572754,0.07780119776725769
0.9145728349685669,0.22248750925064087,0.930232584476471,0.2083127647638321
0.9195979833602905,0.18029652535915375,0.9534883499145508,0.07451696693897247
0.9145728349685669,0.19035278260707855,0.930232584476471,0.09415347874164581
0.9447236061096191,0.15568113327026367,0.930232584476471,0.09050896018743515
